Sample, Test Accuracy
1,0.687
2,0.733
3,0.718
4,0.748
5,0.691
6,0.727
7,0.762
8,0.744
9,0.73
10,0.673

 ,mean, std
,0.721,0.028
Sample, Test Accuracy
1,0.64
2,0.62
3,0.665
4,0.662
5,0.639
6,0.652
7,0.687
8,0.622
9,0.637
10,0.634

 ,mean, std
,0.646,0.02
