RF,nodes Count,
RF_5,1501,
RF_5_t1,10956,
RF_5_t1_1,446,
RF_5_t1_2,471,
RF_5_t1_3,450,
RF_5_t1_4,449,
RF_5_t1_5,453,
RF_5_t1_6,439,
RF_5_t1_7,458,
RF_5_t1_8,453,
RF_5_t1_9,435,
RF_5_t1_10,425,
