RF,nodes Count,
RF_10_t12_sigma_0_3,36,
RF_10_t13,1,
RF_10_t13_sigma_0_0,1,
RF_10_t13_sigma_0_1,49,
RF_10_t13_sigma_0_2,41,
RF_10_t13_sigma_0_3,35,
RF_10_t14,1,
RF_10_t14_sigma_0_0,1,
RF_10_t14_sigma_0_1,37,
RF_10_t14_sigma_0_2,37,
RF_10_t14_sigma_0_3,34,
RF_10_t15,1,
RF_10_t15_sigma_0_0,1,
RF_10_t15_sigma_0_1,23,
RF_10_t15_sigma_0_2,35,
RF_10_t15_sigma_0_3,33,
RF_10_t16,1,
RF_10_t16_sigma_0_0,1,
RF_10_t16_sigma_0_1,19,
RF_10_t16_sigma_0_2,34,
RF_10_t16_sigma_0_3,32,
RF_10_t17,1,
RF_10_t17_sigma_0_0,1,
RF_10_t17_sigma_0_1,15,
RF_10_t17_sigma_0_2,33,
RF_10_t17_sigma_0_3,32,
RF_10_t18,1,
RF_10_t18_sigma_0_0,1,
RF_10_t18_sigma_0_1,13,
RF_10_t18_sigma_0_2,33,
RF_10_t18_sigma_0_3,32,
RF_10_t19,1,
RF_10_t19_sigma_0_0,1,
RF_10_t19_sigma_0_1,11,
RF_10_t19_sigma_0_2,33,
RF_10_t19_sigma_0_3,31,
RF_10_t20,1,
RF_10_t20_sigma_0_0,1,
RF_10_t20_sigma_0_1,11,
RF_10_t20_sigma_0_2,33,
RF_10_t20_sigma_0_3,31,
RF_10_t21,1,
RF_10_t21_sigma_0_0,1,
RF_10_t21_sigma_0_1,7,
RF_10_t21_sigma_0_2,33,
RF_10_t21_sigma_0_3,31,
RF_10_t22,1,
RF_10_t22_sigma_0_0,1,
RF_10_t22_sigma_0_1,4,
RF_10_t22_sigma_0_2,33,
RF_10_t22_sigma_0_3,30,
RF_10_t23,1,
RF_10_t23_sigma_0_0,1,
RF_10_t23_sigma_0_1,3,
RF_10_t23_sigma_0_2,30,
RF_10_t23_sigma_0_3,30,
RF_10_t24,1,
RF_10_t24_sigma_0_0,1,
RF_10_t24_sigma_0_1,1,
RF_10_t24_sigma_0_2,22,
RF_10_t24_sigma_0_3,27,
RF_10_t25,1,
RF_10_t25_sigma_0_0,1,
RF_10_t25_sigma_0_1,1,
RF_10_t25_sigma_0_2,10,
RF_10_t25_sigma_0_3,17,
RF_15,16679,
RF_15_sigma_0_0,16679,
RF_15_sigma_0_1,16275,
RF_15_sigma_0_2,14551,
RF_15_sigma_0_3,11015,
RF_15_t2,1534,
RF_15_t2_sigma_0_0,1258,
RF_15_t2_sigma_0_1,1017,
RF_15_t2_sigma_0_2,2304,
RF_15_t2_sigma_0_3,3064,
RF_15_t3,1186,
RF_15_t3_sigma_0_0,1074,
RF_15_t3_sigma_0_1,731,
RF_15_t3_sigma_0_2,926,
RF_15_t3_sigma_0_3,1556,
RF_15_t4,931,
RF_15_t4_sigma_0_0,903,
RF_15_t4_sigma_0_1,668,
RF_15_t4_sigma_0_2,484,
RF_15_t4_sigma_0_3,770,
RF_15_t5,678,
RF_15_t5_sigma_0_0,751,
RF_15_t5_sigma_0_1,608,
RF_15_t5_sigma_0_2,305,
RF_15_t5_sigma_0_3,337,
RF_15_t6,493,
