Forest Size, Forest Depth, Patterns Threshold, Edges Threshold, Test Accuracy, Accuracy drop, F1 Macro drop, ROC AUC drop, Patterns Count,Compression, Training Time, Pruning Time,
25,5,1,0.9,0.824,-0.009000000000000008,-0.010000000000000009,-0.010000000000000009,62,2.81,0:00:00.788672,None,
25,10,1,0.9,0.829,-0.006000000000000005,-0.006000000000000005,-0.006000000000000005,93,11.49,0:00:01.625538,None,
25,15,1,0.8,0.823,-0.0050000000000000044,-0.0040000000000000036,-0.0040000000000000036,37,90.91,0:00:00.195066,None,
50,5,1,0.925,0.829,-0.006000000000000005,-0.007000000000000006,-0.006000000000000005,89,3.11,0:00:01.943108,None,
50,10,1,0.85,0.825,-0.007000000000000006,-0.007000000000000006,-0.006000000000000005,64,27.78,0:00:01.129529,None,
50,15,1,0.85,0.824,-0.0010000000000000009,-0.0010000000000000009,-0.0010000000000000009,73,76.92,0:00:00.710372,None,
100,5,1,0.9,0.828,-0.009000000000000008,-0.010000000000000009,-0.009000000000000008,107,3.58,0:00:01.696800,None,
100,10,1,0.8,0.82,-0.008000000000000007,-0.008000000000000007,-0.007000000000000006,54,58.82,0:00:00.869411,None,
100,15,1,0.975,0.826,0.0050000000000000044,0.0040000000000000036,0.0050000000000000044,4697,2.16,0:07:36.761592,None,
