Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
25, 5, 0.7963959454386185,0.7957880177303469,0.7963959454386186,0.7995568845673007, 
25, 10, 0.8271805781504192,0.8271376008269397,0.8271805781504191,0.8289310969302464, 
25, 15, 0.8306845200850957,0.8306842549329874,0.8306845200850957,0.8318960309678973, 
50, 5, 0.7957702415217119,0.7950643125319394,0.7957702415217119,0.7990850393967508, 
50, 10, 0.82918283068452,0.8291210043360504,0.8291828306845199,0.8310580698258088, 
50, 15, 0.8323113502690527,0.8323111375595089,0.8323113502690527,0.8335204530014735, 
100, 5, 0.7975222124890502,0.7969314745080597,0.7975222124890502,0.8006612858000448, 
100, 10, 0.8289325491177575,0.8288586960140469,0.8289325491177575,0.8308730829329675, 
100, 15, 0.8304342385183331,0.83043151930786,0.8304342385183331,0.8317485558288434, 
