Forest Size, Forest Depth, Patterns Threshold, Edges Threshold, Test Accuracy, Accuracy drop, F1 Macro drop, ROC AUC drop, Patterns Count,Compression, Training Time, Pruning Time,
25,5,1,0.85,0.821,-0.01200000000000001,-0.01200000000000001,-0.013000000000000012,41,4.24,0:00:00.620879,None,
25,10,1,0.85,0.82,-0.015000000000000013,-0.015000000000000013,-0.014000000000000012,48,22.22,0:00:00.432524,None,
25,15,1,0.8,0.823,-0.0050000000000000044,-0.0040000000000000036,-0.0040000000000000036,37,90.91,0:00:00.195066,None,
50,5,1,0.85,0.823,-0.01200000000000001,-0.01200000000000001,-0.01100000000000001,45,6.13,0:00:00.327925,None,
50,10,1,0.85,0.825,-0.007000000000000006,-0.007000000000000006,-0.006000000000000005,64,27.78,0:00:01.129529,None,
50,15,1,0.85,0.824,-0.0010000000000000009,-0.0010000000000000009,-0.0010000000000000009,73,76.92,0:00:00.710372,None,
100,5,1,0.8,0.819,-0.018000000000000016,-0.018000000000000016,-0.018000000000000016,45,8.55,0:00:00.582250,None,
100,10,1,0.8,0.82,-0.008000000000000007,-0.008000000000000007,-0.007000000000000006,54,58.82,0:00:00.869411,None,
100,15,1,0.8,0.822,0.0010000000000000009,0.0010000000000000009,0.0020000000000000018,50,200.0,0:00:00.363615,None,
