Forest Size, Forest Depth, Patterns threshold, Edges Threshold, Learner, Train Accuracy, Test Accuracy, Test Accuracy (gain), F1_macro, F1_macro (gain), F1_micro, ROC_AUC, ROC_AUC (gain), Patterns Count, Patterns Ratio, Training Time, Pruning Time

25,5,1,1.0,MultinomialNB(),0.791,0.795,0.0,0.793,0.0,0.795,0.793,0.0,174,1.0,0:00:00.025871,None,

25,5,1,1.0,LinearSVC(max_iter=10000),0.835,0.832,0.0,0.832,0.0,0.832,0.832,0.0,174,1.0,0:00:34.611771,None,

25,5,1,1.0,LogisticRegression(max_iter=10000),0.834,0.833,0.0,0.833,0.0,0.833,0.834,0.0,174,1.0,0:00:03.663019,None,

25,5,1,0.975,MultinomialNB(),0.798,0.802,-0.032,0.801,-0.032,0.802,0.801,-0.032,133,0.764,0:00:00.018760,None,

25,5,1,0.975,LinearSVC(max_iter=10000),0.835,0.833,-0.0,0.833,-0.0,0.833,0.833,-0.0,133,0.764,0:00:21.209303,None,

25,5,1,0.975,LogisticRegression(max_iter=10000),0.835,0.834,0.0,0.834,0.0,0.834,0.834,0.0,133,0.764,0:00:02.737031,None,

25,5,1,0.95,MultinomialNB(),0.799,0.802,-0.032,0.802,-0.032,0.802,0.802,-0.031,102,0.586,0:00:00.014759,None,

25,5,1,0.95,LinearSVC(max_iter=10000),0.832,0.83,-0.003,0.83,-0.003,0.83,0.831,-0.003,102,0.586,0:00:08.604895,None,

25,5,1,0.95,LogisticRegression(max_iter=10000),0.831,0.831,-0.003,0.83,-0.003,0.831,0.831,-0.003,102,0.586,0:00:01.452483,None,

25,5,1,0.925,MultinomialNB(),0.79,0.795,-0.039,0.795,-0.038,0.795,0.796,-0.037,78,0.448,0:00:00.011830,None,

25,5,1,0.925,LinearSVC(max_iter=10000),0.829,0.825,-0.008,0.825,-0.008,0.825,0.826,-0.008,78,0.448,0:00:05.303747,None,

25,5,1,0.925,LogisticRegression(max_iter=10000),0.831,0.826,-0.007,0.826,-0.007,0.826,0.827,-0.007,78,0.448,0:00:01.214809,None,

25,5,1,0.9,MultinomialNB(),0.788,0.792,-0.041,0.792,-0.041,0.792,0.794,-0.039,62,0.356,0:00:00.010893,None,

25,5,1,0.9,LinearSVC(max_iter=10000),0.825,0.823,-0.011,0.823,-0.011,0.823,0.824,-0.01,62,0.356,0:00:03.720719,None,

