Forest Size, Forest Depth, Patterns threshold, Edges Threshold, Learner, Train R2, Test R2, Test R2 (gain), MAE, MAE (gain), MSE, MSE (gain), Patterns Count, Patterns Ratio, Training Time, Pruning Time
25,5,2,0.975,MultinomialNB(),0.578,0.387,0.0030000000000000027,1.973,-0.0029999999999998916,5.962,-0.020999999999999908,58,0.806,0:00:00.007117,0:00:00.185192
25,5,2,0.975,LinearSVC(max_iter=10000),0.663,0.378,-0.0010000000000000009,1.961,0.010000000000000009,6.044,0.010999999999999233,58,0.806,0:00:13.131252,0:00:00.185192
25,5,2,0.975,LogisticRegression(max_iter=10000),0.691,0.439,-0.0010000000000000009,1.849,-0.0020000000000000018,5.453,0.012000000000000455,58,0.806,0:00:10.720105,0:00:00.185192
25,5,2,0.95,MultinomialNB(),0.566,0.388,0.0040000000000000036,1.965,-0.010999999999999899,5.953,-0.02999999999999936,55,0.764,0:00:00.007528,0:00:00.171755
25,5,2,0.95,LinearSVC(max_iter=10000),0.659,0.371,-0.008000000000000007,1.981,0.030000000000000027,6.112,0.07899999999999974,55,0.764,0:00:11.418341,0:00:00.171755
25,5,2,0.95,LogisticRegression(max_iter=10000),0.69,0.433,-0.007000000000000006,1.868,0.017000000000000126,5.506,0.06500000000000039,55,0.764,0:00:10.562307,0:00:00.171755
25,5,2,0.925,MultinomialNB(),0.558,0.373,-0.01100000000000001,2.005,0.028999999999999915,6.094,0.11100000000000065,49,0.681,0:00:00.006892,0:00:00.169440
25,5,2,0.925,LinearSVC(max_iter=10000),0.654,0.378,-0.0010000000000000009,1.973,0.02200000000000002,6.043,0.009999999999999787,49,0.681,0:00:11.132441,0:00:00.169440
25,5,2,0.925,LogisticRegression(max_iter=10000),0.679,0.437,-0.0030000000000000027,1.853,0.0020000000000000018,5.468,0.027000000000000135,49,0.681,0:00:09.261424,0:00:00.169440
25,5,2,0.9,MultinomialNB(),0.56,0.381,-0.0030000000000000027,1.987,0.01100000000000012,6.017,0.034000000000000696,46,0.639,0:00:00.006228,0:00:00.157004
25,5,2,0.9,LinearSVC(max_iter=10000),0.648,0.372,-0.007000000000000006,1.98,0.028999999999999915,6.104,0.07099999999999973,46,0.639,0:00:09.045693,0:00:00.157004
25,5,2,0.9,LogisticRegression(max_iter=10000),0.68,0.429,-0.01100000000000001,1.872,0.02100000000000013,5.547,0.10599999999999987,46,0.639,0:00:08.751122,0:00:00.157004
25,5,2,0.85,MultinomialNB(),0.514,0.33,-0.05399999999999999,2.08,0.10400000000000009,6.51,0.5270000000000001,37,0.514,0:00:00.005948,0:00:00.135325
25,5,2,0.85,LinearSVC(max_iter=10000),0.623,0.353,-0.026000000000000023,1.994,0.04299999999999993,6.285,0.2519999999999998,37,0.514,0:00:06.941493,0:00:00.135325
25,5,2,0.85,LogisticRegression(max_iter=10000),0.651,0.406,-0.033999999999999975,1.906,0.05499999999999994,5.778,0.33699999999999974,37,0.514,0:00:06.744406,0:00:00.135325
25,5,2,0.8,MultinomialNB(),0.495,0.318,-0.066,2.106,0.1299999999999999,6.632,0.649,33,0.458,0:00:00.006914,0:00:00.133444
25,5,2,0.8,LinearSVC(max_iter=10000),0.61,0.343,-0.035999999999999976,2.011,0.06000000000000005,6.385,0.3519999999999994,33,0.458,0:00:05.673521,0:00:00.133444
25,5,2,0.8,LogisticRegression(max_iter=10000),0.631,0.415,-0.025000000000000022,1.887,0.03600000000000003,5.687,0.24600000000000044,33,0.458,0:00:05.703475,0:00:00.133444
25,5,2,0.7,MultinomialNB(),0.475,0.314,-0.07,2.078,0.10199999999999987,6.669,0.6859999999999999,18,0.25,0:00:00.005802,0:00:00.121506
25,5,2,0.7,LinearSVC(max_iter=10000),0.57,0.27,-0.10899999999999999,2.139,0.18799999999999972,7.098,1.0649999999999995,18,0.25,0:00:02.289742,0:00:00.121506
25,5,2,0.7,LogisticRegression(max_iter=10000),0.594,0.362,-0.07800000000000001,1.977,0.1260000000000001,6.198,0.7570000000000006,18,0.25,0:00:04.322511,0:00:00.121506
25,5,2,0.6,MultinomialNB(),0.458,0.256,-0.128,2.158,0.18199999999999994,7.232,1.2490000000000006,8,0.111,0:00:00.003906,0:00:00.116613
25,5,2,0.6,LinearSVC(max_iter=10000),0.424,-0.108,-0.487,2.62,0.669,10.766,4.733,8,0.111,0:00:01.003505,0:00:00.116613
25,5,2,0.6,LogisticRegression(max_iter=10000),0.512,0.186,-0.254,2.27,0.41900000000000004,7.916,2.4750000000000005,8,0.111,0:00:01.542762,0:00:00.116613
25,10,1,1,MultinomialNB(),-0.619,-0.606,0.0,3.141,0.0,15.614,0.0,1011,1,0:00:00.065555,0:00:39.886183
25,10,1,1,LinearSVC(max_iter=10000),0.828,0.326,0.0,1.994,0.0,6.547,0.0,1011,1,0:11:57.479960,0:00:39.886183
25,10,1,1,LogisticRegression(max_iter=10000),0.853,0.425,0.0,1.847,0.0,5.591,0.0,1011,1,0:04:49.208342,0:00:39.886183
25,10,1,0.975,MultinomialNB(),-0.797,-0.72,-0.11399999999999999,3.234,0.09299999999999997,16.717,1.102999999999998,878,0.868,0:00:00.106017,0:00:34.154181
25,10,1,0.975,LinearSVC(max_iter=10000),0.8,0.311,-0.015000000000000013,2.013,0.018999999999999906,6.701,0.15399999999999991,878,0.868,0:11:28.857762,0:00:34.154181
25,10,1,0.975,LogisticRegression(max_iter=10000),0.838,0.405,-0.019999999999999962,1.877,0.030000000000000027,5.788,0.19700000000000006,878,0.868,0:03:03.784535,0:00:34.154181
25,10,1,0.95,MultinomialNB(),-0.983,-0.839,-0.23299999999999998,3.342,0.20100000000000007,17.873,2.2590000000000003,812,0.803,0:00:00.063893,0:00:27.465803
25,10,1,0.95,LinearSVC(max_iter=10000),0.783,0.321,-0.0050000000000000044,1.981,-0.0129999999999999,6.603,0.05600000000000005,812,0.803,0:10:48.499225,0:00:27.465803
25,10,1,0.95,LogisticRegression(max_iter=10000),0.818,0.414,-0.01100000000000001,1.875,0.028000000000000025,5.698,0.1070000000000002,812,0.803,0:02:34.856176,0:00:27.465803
25,10,1,0.925,MultinomialNB(),-1.145,-0.952,-0.346,3.441,0.2999999999999998,18.976,3.3619999999999983,753,0.745,0:00:00.052294,0:00:22.270672
25,10,1,0.925,LinearSVC(max_iter=10000),0.772,0.24,-0.08600000000000002,2.111,0.11700000000000021,7.384,0.8370000000000006,753,0.745,0:10:25.213076,0:00:22.270672
25,10,1,0.925,LogisticRegression(max_iter=10000),0.801,0.39,-0.034999999999999976,1.916,0.06899999999999995,5.924,0.3330000000000002,753,0.745,0:02:06.262351,0:00:22.270672
25,10,1,0.9,MultinomialNB(),-1.332,-1.077,-0.471,3.528,0.387,20.19,4.5760000000000005,705,0.697,0:00:00.045520,0:00:20.492302
25,10,1,0.9,LinearSVC(max_iter=10000),0.76,0.279,-0.046999999999999986,2.092,0.09800000000000009,7.01,0.4630000000000001,705,0.697,0:10:02.626212,0:00:20.492302
25,10,1,0.9,LogisticRegression(max_iter=10000),0.792,0.391,-0.033999999999999975,1.917,0.07000000000000006,5.922,0.3309999999999995,705,0.697,0:02:02.901420,0:00:20.492302
25,10,1,0.85,MultinomialNB(),-1.711,-1.26,-0.654,3.662,0.5209999999999999,21.967,6.352999999999998,600,0.593,0:00:00.039610,0:00:13.524197
25,10,1,0.85,LinearSVC(max_iter=10000),0.734,0.281,-0.044999999999999984,2.074,0.07999999999999985,6.984,0.4370000000000003,600,0.593,0:09:05.969810,0:00:13.524197
25,10,1,0.85,LogisticRegression(max_iter=10000),0.764,0.379,-0.045999999999999985,1.93,0.08299999999999996,6.038,0.44700000000000006,600,0.593,0:01:34.386525,0:00:13.524197
25,10,1,0.8,MultinomialNB(),-1.787,-1.285,-0.6789999999999999,3.689,0.548,22.208,6.593999999999998,510,0.504,0:00:00.035611,0:00:09.607749
25,10,1,0.8,LinearSVC(max_iter=10000),0.692,0.2,-0.126,2.216,0.2220000000000002,7.771,1.2240000000000002,510,0.504,0:08:19.039764,0:00:09.607749
25,10,1,0.8,LogisticRegression(max_iter=10000),0.735,0.34,-0.08499999999999996,2.023,0.17600000000000016,6.415,0.8239999999999998,510,0.504,0:01:13.499012,0:00:09.607749
25,10,1,0.7,MultinomialNB(),-1.557,-1.109,-0.503,3.61,0.46899999999999986,20.498,4.884,334,0.33,0:00:00.048302,0:00:05.408407
