Forest Size, Forest depth, R2, MAE, MSE, Model Size (KB)
25,5,0.429557883674996,1.90622906898861,5.54454119223041,39
50,5,0.450024337957253,1.87206965840589,5.3456128600134,77
100,5,0.442444169704565,1.88278633623577,5.41929002009377,156
25,10,0.571307030000259,1.65907568653717,4.1667782987274,605
50,10,0.58949943380671,1.65103817816477,3.98995311453449,1197
25,15,0.588396863879047,1.65639651707971,4.00066979236437,1744
100,10,0.596872870197961,1.642330877428,3.91828533154722,2400
50,15,0.602523541077238,1.63429336905559,3.86336235766912,3578
100,15,0.606244714583103,1.62759544541192,3.8271935699933,7135
