Epoch, Train Loss, Valid Loss, Accuracy 
1,3.4170150054318453,3.4090881982622783,0.36
2,3.4090881982622783,3.4011628610971774,0.36
3,3.4011628610971774,3.3932390121564824,0.36
4,3.3932390121564824,3.3853166698799493,0.36
5,3.3853166698799493,3.3773958529296433,0.36
6,3.3773958529296433,3.369476580192435,0.36
7,3.369476580192435,3.361558870782503,0.36
8,3.361558870782503,3.353642744043897,0.36
9,3.353642744043897,3.3457282195530986,0.36
10,3.3457282195530986,3.337815317121598,0.36
11,3.337815317121598,3.3299040567985387,0.36
12,3.3299040567985387,3.3219944588733235,0.36
13,3.3219944588733235,3.314086543878287,0.36
14,3.314086543878287,3.3061803325913837,0.36
15,3.3061803325913837,3.298275846038896,0.36
16,3.298275846038896,3.2903731054981544,0.36
17,3.2903731054981544,3.2824721325002972,0.36
18,3.2824721325002972,3.2745729488330606,0.36
19,3.2745729488330606,3.266675576543563,0.36
20,3.266675576543563,3.2587800379411442,0.36
21,3.2587800379411442,3.2508863556002097,0.36
22,3.2508863556002097,3.2429945523631,0.36
23,3.2429945523631,3.235104651343,0.36
24,3.235104651343,3.2272166759268477,0.36
25,3.2272166759268477,3.219330649778283,0.36
26,3.219330649778283,3.211446596840619,0.36
27,3.211446596840619,3.2035645413398304,0.36
28,3.2035645413398304,3.19568450778757,0.36
29,3.19568450778757,3.187806520984204,0.36
30,3.187806520984204,3.1799306060218826,0.36
31,3.1799306060218826,3.1720567882876174,0.36
32,3.1720567882876174,3.164185093466399,0.36
33,3.164185093466399,3.156315547544322,0.36
34,3.156315547544322,3.148448176811745,0.36
35,3.148448176811745,3.1405830078664665,0.36
36,3.1405830078664665,3.13272006761693,0.36
37,3.13272006761693,3.124859383285451,0.36
38,3.124859383285451,3.11700098241145,0.36
39,3.11700098241145,3.109144892854742,0.36
40,3.109144892854742,3.1012911427988157,0.36
41,3.1012911427988157,3.0934397607541575,0.36
42,3.0934397607541575,3.085590775561572,0.36
43,3.085590775561572,3.077744216395563,0.36
44,3.077744216395563,3.069900112767692,0.36
45,3.069900112767692,3.062058494529996,0.36
46,3.062058494529996,3.0542193918784024,0.36
47,3.0542193918784024,3.0463828353561735,0.36
48,3.0463828353561735,3.0385488558573712,0.36
49,3.0385488558573712,3.0307174846303466,0.36
50,3.0307174846303466,3.0228887532812405,0.36
51,3.0228887532812405,3.0150626937775087,0.36
52,3.0150626937775087,3.0072393384514657,0.36
53,3.0072393384514657,2.9994187200038582,0.36
54,2.9994187200038582,2.9916008715074343,0.36
55,2.9916008715074343,2.983785826410555,0.36
56,2.983785826410555,2.9759736185408077,0.36
57,2.9759736185408077,2.9681642821086474,0.36
58,2.9681642821086474,2.9603578517110516,0.36
59,2.9603578517110516,2.9525543623351895,0.36
60,2.9525543623351895,2.9447538493621126,0.36
61,2.9447538493621126,2.9369563485704577,0.36
62,2.9369563485704577,2.929161896140167,0.36
63,2.929161896140167,2.9213705286562233,0.36
64,2.9213705286562233,2.9135822831123983,0.36
65,2.9135822831123983,2.9057971969150196,0.36
66,2.9057971969150196,2.898015307886741,0.36
67,2.898015307886741,2.890236654270339,0.36
68,2.890236654270339,2.8824612747325102,0.36
69,2.8824612747325102,2.8746892083676894,0.36
70,2.8746892083676894,2.866920494701863,0.36
71,2.866920494701863,2.8591551736964207,0.36
72,2.8591551736964207,2.8513932857519846,0.36
73,2.8513932857519846,2.843634871712273,0.36
74,2.843634871712273,2.8358799728679513,0.36
75,2.8358799728679513,2.828128630960512,0.36
76,2.828128630960512,2.82038088818614,0.36
77,2.82038088818614,2.812636787199598,0.36
78,2.812636787199598,2.804896371118115,0.36
79,2.804896371118115,2.7971596835252672,0.36
80,2.7971596835252672,2.7894267684748852,0.36
81,2.7894267684748852,2.781697670494929,0.36
82,2.781697670494929,2.7739724345914065,0.36
83,2.7739724345914065,2.7662511062522532,0.36
84,2.7662511062522532,2.758533731451231,0.36
85,2.758533731451231,2.7508203566518348,0.36
86,2.7508203566518348,2.7431110288111626,0.36
87,2.7431110288111626,2.7354057953838242,0.36
88,2.7354057953838242,2.7277047043258027,0.36
89,2.7277047043258027,2.720007804098346,0.36
90,2.720007804098346,2.7123151436718276,0.36
91,2.7123151436718276,2.704626772529609,0.36
92,2.704626772529609,2.6969427406718847,0.36
93,2.6969427406718847,2.6892630986195263,0.36
94,2.6892630986195263,2.681587897417902,0.36
95,2.681587897417902,2.6739171886406967,0.36
96,2.6739171886406967,2.6662510243936994,0.36
97,2.6662510243936994,2.6585894573185866,0.36
98,2.6585894573185866,2.6509325405966853,0.36
99,2.6509325405966853,2.643280327952712,0.36
100,2.643280327952712,2.6356328736584946,0.36
