Forest Size, Forest depth, R2, MAE, MSE, 
25, 5, 0.4295578836749957,1.9062290689886134,5.544541192230408, 
25, 10, 0.5713070300002595,1.6590756865371734,4.166778298727395, 
25, 15, 0.5883968638790468,1.6563965170797053,4.000669792364367, 
50, 5, 0.45002433795725305,1.8720696584058942,5.345612860013396, 
50, 10, 0.5894994338067104,1.651038178164769,3.989953114534494, 
50, 15, 0.6025235410772378,1.6342933690555927,3.8633623576691227, 
100, 5, 0.4424441697045651,1.8827863362357669,5.419290020093771, 
100, 10, 0.5968728701979614,1.6423308774279972,3.9182853315472204, 
100, 15, 0.6062447145831028,1.6275954454119224,3.827193569993302, 
