64,10,1,0.9,LogisticRegression(max_iter=10000),0.855,0.655,0.007,1.31,-0.007,1.833,-0.018,1096,0.735,0:03:43.699929,0:00:00,

64,10,1,0.85,LogisticRegression(max_iter=10000),0.83,0.637,-0.011,1.35,0.033,1.88,0.029,757,0.507,0:02:05.615812,0:00:00,

64,10,1,0.8,LogisticRegression(max_iter=10000),0.807,0.595,-0.054,1.407,0.089,1.988,0.137,452,0.303,0:01:06.182852,0:00:00,

64,10,1,0.75,LogisticRegression(max_iter=10000),0.775,0.614,-0.035,1.382,0.065,1.941,0.09,241,0.162,0:00:30.592117,0:00:00,

64,10,1,0.7,LogisticRegression(max_iter=10000),0.719,0.639,-0.01,1.342,0.025,1.876,0.025,87,0.058,0:00:16.368037,0:00:00,

64,10,1,0.65,LogisticRegression(max_iter=10000),0.644,0.634,-0.015,1.373,0.056,1.89,0.039,30,0.02,0:00:08.410092,0:00:00,

64,15,1,1.0,LogisticRegression(max_iter=10000),0.88,0.659,0.0,1.297,0.0,1.822,0.0,1898,1.0,0:08:55.129809,0:00:00,

64,15,1,0.95,LogisticRegression(max_iter=10000),0.875,0.652,-0.008,1.313,0.015,1.843,0.021,1731,0.912,0:07:32.724022,0:00:00,

64,15,1,0.9,LogisticRegression(max_iter=10000),0.864,0.657,-0.003,1.304,0.007,1.83,0.007,1311,0.691,0:04:35.308836,0:00:00,

64,15,1,0.85,LogisticRegression(max_iter=10000),0.844,0.645,-0.014,1.33,0.033,1.861,0.038,786,0.414,0:02:23.418828,0:00:00,

64,15,1,0.8,LogisticRegression(max_iter=10000),0.813,0.642,-0.017,1.328,0.03,1.868,0.046,452,0.238,0:01:05.015909,0:00:00,

64,15,1,0.75,LogisticRegression(max_iter=10000),0.763,0.622,-0.038,1.355,0.058,1.921,0.098,208,0.11,0:00:23.465204,0:00:00,

64,15,1,0.7,LogisticRegression(max_iter=10000),0.709,0.664,0.004,1.292,-0.005,1.811,-0.011,81,0.043,0:00:16.004889,0:00:00,

64,15,1,0.65,LogisticRegression(max_iter=10000),0.666,0.638,-0.021,1.375,0.078,1.878,0.055,33,0.017,0:00:06.358474,0:00:00,

