16,5,830,20
16,10,3700,92
16,15,6502,162
32,5,1546,38
32,10,7788,194
32,15,12774,319
64,5,3150,78
64,10,15396,384
64,15,26746,668
64,5,528,13
64,10,506,12
64,15,524,13
64,5,2492,62
64,10,5956,148
64,15,6836,170
64,5,2030,50
64,10,3206,80
64,15,3254,81
64,5,1060,26
64,10,1156,28
64,15,1200,30
64,5,662,16
64,10,656,16
64,15,680,17
64,5,662,16
64,10,656,16
64,15,680,17
64,5,2308,57
64,10,6080,152
64,15,7384,184
64,5,828,20
64,10,928,23
64,15,892,22
64,5,516,12
64,10,494,12
64,15,534,13
64,5,842,21
64,10,888,22
64,15,822,20
64,5,1200,30
64,10,1602,40
64,15,1534,38
64,5,1210,30
64,10,1582,39
64,15,1550,38
