Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, 
25, 5, 0.9868047470228977,0.9803527817470218,0.9868047470228977,0.9900764679154486, 
25, 10, 0.9984884694732112,0.9977100990149075,0.9984884694732112,0.9989734970268503, 
25, 15, 0.999448495618604,0.999163135678361,0.999448495618604,0.999615664331396, 
50, 5, 0.988234573196887,0.9824548067314214,0.988234573196887,0.991450297122318, 
50, 10, 0.9982637825030128,0.9973711308070714,0.9982637825030128,0.9989042155472476, 
50, 15, 0.9994893477950038,0.9992250695235485,0.9994893477950038,0.9996414474949903, 
100, 5, 0.9872745470514942,0.9810608758942159,0.9872745470514942,0.991025707578268, 
100, 10, 0.9981616520620136,0.9972167923832543,0.9981616520620136,0.9988034946781796, 
100, 15, 0.9993872173540045,0.9990702517148438,0.9993872173540045,0.9995769895860048, 
