Forest Size, Forest Depth, Patterns threshold, Edges Threshold, Learner, Train Accuracy, Test Accuracy, Test Accuracy (gain), F1_macro, F1_macro (gain), F1_micro, ROC_AUC, ROC_AUC (gain), Patterns Count, Patterns Ratio, Training Time, Pruning Time
25,5,2,1,LinearSVC(max_iter=10000),0.973,0.972,0.0,0.959,0.0,0.972,0.968,0.0,160,1,0:03:07.445765,0:00:55.510409
25,5,2,1,LogisticRegression(max_iter=10000),0.973,0.972,0.0,0.959,0.0,0.972,0.966,0.0,160,1,0:00:51.079413,0:00:55.510409
25,5,2,0.975,MultinomialNB(),0.925,0.925,-0.010000000000000009,0.893,-0.01200000000000001,0.925,0.917,-0.006000000000000005,154,0.962,0:00:00.296681,0:00:52.551365
25,5,2,0.975,LinearSVC(max_iter=10000),0.971,0.971,-0.0010000000000000009,0.956,-0.0030000000000000027,0.971,0.965,-0.0030000000000000027,154,0.962,0:03:02.703456,0:00:52.551365
25,5,2,0.975,LogisticRegression(max_iter=10000),0.972,0.972,0.0,0.958,-0.0010000000000000009,0.972,0.964,-0.0020000000000000018,154,0.962,0:00:59.629086,0:00:52.551365
25,5,2,0.95,MultinomialNB(),0.917,0.917,-0.018000000000000016,0.882,-0.02300000000000002,0.917,0.911,-0.01200000000000001,143,0.894,0:00:00.282664,0:00:47.908308
25,5,2,0.95,LinearSVC(max_iter=10000),0.967,0.967,-0.0050000000000000044,0.95,-0.009000000000000008,0.967,0.956,-0.01200000000000001,143,0.894,0:02:48.714649,0:00:47.908308
25,5,2,0.95,LogisticRegression(max_iter=10000),0.968,0.967,-0.0050000000000000044,0.95,-0.009000000000000008,0.967,0.953,-0.013000000000000012,143,0.894,0:00:53.913288,0:00:47.908308
25,5,2,0.925,MultinomialNB(),0.909,0.909,-0.026000000000000023,0.873,-0.03200000000000003,0.909,0.907,-0.016000000000000014,139,0.869,0:00:00.274881,0:00:46.571159
25,5,2,0.925,LinearSVC(max_iter=10000),0.967,0.967,-0.0050000000000000044,0.95,-0.009000000000000008,0.967,0.955,-0.013000000000000012,139,0.869,0:03:36.786324,0:00:46.571159
25,5,2,0.925,LogisticRegression(max_iter=10000),0.967,0.967,-0.0050000000000000044,0.95,-0.009000000000000008,0.967,0.953,-0.013000000000000012,139,0.869,0:00:55.833498,0:00:46.571159
25,5,2,0.9,MultinomialNB(),0.909,0.909,-0.026000000000000023,0.873,-0.03200000000000003,0.909,0.907,-0.016000000000000014,131,0.819,0:00:00.268890,0:00:43.718271
25,5,2,0.9,LinearSVC(max_iter=10000),0.966,0.965,-0.007000000000000006,0.948,-0.01100000000000001,0.965,0.955,-0.013000000000000012,131,0.819,0:03:12.251651,0:00:43.718271
25,5,2,0.9,LogisticRegression(max_iter=10000),0.968,0.968,-0.0040000000000000036,0.951,-0.008000000000000007,0.968,0.955,-0.01100000000000001,131,0.819,0:00:37.414646,0:00:43.718271
25,5,2,0.85,MultinomialNB(),0.908,0.909,-0.026000000000000023,0.874,-0.031000000000000028,0.909,0.911,-0.01200000000000001,115,0.719,0:00:00.238982,0:00:38.368937
25,5,2,0.85,LinearSVC(max_iter=10000),0.956,0.955,-0.017000000000000015,0.935,-0.02399999999999991,0.955,0.951,-0.017000000000000015,115,0.719,0:01:59.580632,0:00:38.368937
25,5,2,0.85,LogisticRegression(max_iter=10000),0.958,0.957,-0.015000000000000013,0.936,-0.02299999999999991,0.957,0.947,-0.019000000000000017,115,0.719,0:00:45.750081,0:00:38.368937
25,5,2,0.8,MultinomialNB(),0.853,0.853,-0.08200000000000007,0.811,-0.09399999999999997,0.853,0.877,-0.04600000000000004,97,0.606,0:00:00.212648,0:00:32.694675
25,5,2,0.8,LinearSVC(max_iter=10000),0.956,0.956,-0.016000000000000014,0.935,-0.02399999999999991,0.956,0.951,-0.017000000000000015,97,0.606,0:01:37.922526,0:00:32.694675
25,5,2,0.8,LogisticRegression(max_iter=10000),0.956,0.955,-0.017000000000000015,0.934,-0.02499999999999991,0.955,0.947,-0.019000000000000017,97,0.606,0:00:42.401967,0:00:32.694675
25,5,2,0.7,MultinomialNB(),0.814,0.813,-0.12200000000000011,0.771,-0.134,0.813,0.856,-0.06700000000000006,63,0.394,0:00:00.161265,0:00:25.096786
