Forest Size, Forest Depth, Patterns threshold, Edges Threshold, Learner, Train Accuracy, Test Accuracy, Test Accuracy (gain), F1_macro, F1_macro (gain), F1_micro, ROC_AUC, ROC_AUC (gain), Patterns Count, Patterns Ratio, Training Time, Pruning Time
25,5,1,1,MultinomialNB(),0.789,0.78,0,0.756,0,0.78,0.753,0,312,1,0:00:00.060006,0:00:12.193715
25,5,1,1,LinearSVC(max_iter=10000),0.837,0.838,0,0.814,0,0.838,0.802,0,312,1,0:01:40.357360,0:00:12.193715
25,5,1,1,LogisticRegression(max_iter=10000),0.838,0.835,0,0.811,0,0.835,0.8,0,312,1,0:00:05.907103,0:00:12.193715
25,5,1,0.975,MultinomialNB(),0.789,0.78,-0.055,0.756,-0.055,0.78,0.753,-0.047,277,0.888,0:00:00.044189,0:00:09.880581
25,5,1,0.975,LinearSVC(max_iter=10000),0.828,0.829,-0.006,0.803,-0.008,0.829,0.792,-0.008,277,0.888,0:01:13.437912,0:00:09.880581
25,5,1,0.975,LogisticRegression(max_iter=10000),0.832,0.831,-0.005,0.806,-0.005,0.831,0.795,-0.005,277,0.888,0:00:04.429834,0:00:09.880581
25,5,1,0.95,MultinomialNB(),0.789,0.785,-0.05,0.764,-0.047,0.785,0.764,-0.036,242,0.776,0:00:00.039060,0:00:07.896975
25,5,1,0.95,LinearSVC(max_iter=10000),0.828,0.831,-0.005,0.805,-0.006,0.831,0.794,-0.006,242,0.776,0:01:15.679986,0:00:07.896975
25,5,1,0.95,LogisticRegression(max_iter=10000),0.831,0.83,-0.005,0.806,-0.006,0.83,0.795,-0.005,242,0.776,0:00:03.874927,0:00:07.896975
25,5,1,0.925,MultinomialNB(),0.782,0.777,-0.059,0.759,-0.052,0.777,0.764,-0.036,205,0.657,0:00:00.034950,0:00:06.356358
25,5,1,0.925,LinearSVC(max_iter=10000),0.828,0.828,-0.007,0.802,-0.009,0.828,0.791,-0.009,205,0.657,0:00:43.366828,0:00:06.356358
25,5,1,0.925,LogisticRegression(max_iter=10000),0.83,0.83,-0.005,0.805,-0.006,0.83,0.794,-0.006,205,0.657,0:00:03.117157,0:00:06.356358
25,5,1,0.9,MultinomialNB(),0.781,0.776,-0.059,0.76,-0.051,0.776,0.769,-0.031,174,0.558,0:00:00.031935,0:00:05.014321
25,5,1,0.9,LinearSVC(max_iter=10000),0.826,0.829,-0.006,0.803,-0.008,0.829,0.792,-0.008,174,0.558,0:00:42.291687,0:00:05.014321
25,5,1,0.9,LogisticRegression(max_iter=10000),0.827,0.829,-0.006,0.804,-0.007,0.829,0.793,-0.007,174,0.558,0:00:01.780641,0:00:05.014321
25,5,1,0.85,MultinomialNB(),0.758,0.75,-0.086,0.734,-0.077,0.75,0.745,-0.055,140,0.449,0:00:00.026854,0:00:03.910252
