Forest Size, Forest Depth, Patterns threshold, Edges Threshold, Learner, Train Accuracy, Test Accuracy, Test Accuracy (gain), F1_macro, F1_macro (gain), F1_micro, ROC_AUC, ROC_AUC (gain), Patterns Count, Patterns Ratio, Training Time, Pruning Time
25,5,2,0.95,MultinomialNB(),0.771,0.765,-0.001,0.753,0,0.765,0.768,0.002,91,0.858,0:00:00.019574,0:00:01.395389
25,5,2,0.95,LinearSVC(max_iter=10000),0.82,0.826,-0.002,0.798,-0.003,0.826,0.785,-0.003,91,0.858,0:00:10.200135,0:00:01.395389
25,5,2,0.95,LogisticRegression(max_iter=10000),0.821,0.826,-0.003,0.799,-0.004,0.826,0.787,-0.004,91,0.858,0:00:01.334515,0:00:01.395389
25,5,2,0.925,MultinomialNB(),0.762,0.753,-0.013,0.743,-0.01,0.753,0.762,-0.004,76,0.717,0:00:00.017753,0:00:01.401576
25,5,2,0.925,LinearSVC(max_iter=10000),0.82,0.826,-0.002,0.798,-0.003,0.826,0.786,-0.002,76,0.717,0:00:06.786874,0:00:01.401576
25,5,2,0.925,LogisticRegression(max_iter=10000),0.821,0.825,-0.004,0.798,-0.005,0.825,0.785,-0.006,76,0.717,0:00:01.241864,0:00:01.401576
25,5,2,0.9,MultinomialNB(),0.747,0.739,-0.027,0.728,-0.025,0.739,0.746,-0.02,59,0.557,0:00:00.014970,0:00:01.198244
25,5,2,0.9,LinearSVC(max_iter=10000),0.818,0.823,-0.005,0.794,-0.007,0.823,0.782,-0.006,59,0.557,0:00:04.063378,0:00:01.198244
25,5,2,0.9,LogisticRegression(max_iter=10000),0.818,0.821,-0.008,0.793,-0.01,0.821,0.781,-0.01,59,0.557,0:00:00.486380,0:00:01.198244
25,5,2,0.85,MultinomialNB(),0.735,0.726,-0.04,0.715,-0.038,0.726,0.734,-0.032,50,0.472,0:00:00.013536,0:00:00.885515
25,5,2,0.85,LinearSVC(max_iter=10000),0.809,0.808,-0.02,0.779,-0.022,0.808,0.768,-0.02,50,0.472,0:00:02.249657,0:00:00.885515
25,5,2,0.85,LogisticRegression(max_iter=10000),0.808,0.807,-0.022,0.778,-0.025,0.807,0.768,-0.023,50,0.472,0:00:00.388622,0:00:00.885515
25,5,2,0.8,MultinomialNB(),0.732,0.722,-0.044,0.71,-0.043,0.722,0.729,-0.037,46,0.434,0:00:00.012592,0:00:00.849382
25,5,2,0.8,LinearSVC(max_iter=10000),0.803,0.798,-0.03,0.77,-0.031,0.798,0.761,-0.027,46,0.434,0:00:02.884596,0:00:00.849382
25,5,2,0.8,LogisticRegression(max_iter=10000),0.801,0.796,-0.033,0.768,-0.035,0.796,0.76,-0.031,46,0.434,0:00:00.320652,0:00:00.849382
25,5,2,0.7,MultinomialNB(),0.728,0.715,-0.051,0.704,-0.049,0.715,0.722,-0.044,35,0.33,0:00:00.011233,0:00:00.724966
25,5,2,0.7,LinearSVC(max_iter=10000),0.789,0.786,-0.042,0.759,-0.042,0.786,0.754,-0.034,35,0.33,0:00:01.188728,0:00:00.724966
25,5,2,0.7,LogisticRegression(max_iter=10000),0.789,0.783,-0.046,0.758,-0.045,0.783,0.754,-0.037,35,0.33,0:00:00.271073,0:00:00.724966
25,5,2,0.6,MultinomialNB(),0.723,0.71,-0.056,0.699,-0.054,0.71,0.718,-0.048,18,0.17,0:00:00.009200,0:00:00.718879
25,5,2,0.6,LinearSVC(max_iter=10000),0.795,0.794,-0.034,0.758,-0.043,0.794,0.745,-0.043,18,0.17,0:00:00.532560,0:00:00.718879
25,5,2,0.6,LogisticRegression(max_iter=10000),0.795,0.795,-0.034,0.759,-0.044,0.795,0.747,-0.044,18,0.17,0:00:00.221097,0:00:00.718879
25,10,1,1,MultinomialNB(),0.748,0.745,0,0.698,0,0.745,0.688,0,1152,1,0:00:00.148723,0:02:22.156638
25,10,1,1,LinearSVC(max_iter=10000),0.853,0.824,0,0.799,0,0.824,0.79,0,1152,1,0:05:04.166113,0:02:22.156638
25,10,1,1,LogisticRegression(max_iter=10000),0.852,0.828,0,0.804,0,0.828,0.795,0,1152,1,0:00:33.625354,0:02:22.156638
25,10,1,0.975,MultinomialNB(),0.749,0.745,0,0.702,0.004,0.745,0.693,0.005,970,0.842,0:00:00.127868,0:01:43.773043
25,10,1,0.975,LinearSVC(max_iter=10000),0.847,0.82,-0.004,0.795,-0.004,0.82,0.786,-0.004,970,0.842,0:04:27.251596,0:01:43.773043
25,10,1,0.975,LogisticRegression(max_iter=10000),0.847,0.825,-0.003,0.8,-0.004,0.825,0.791,-0.004,970,0.842,0:00:23.898327,0:01:43.773043
25,10,1,0.95,MultinomialNB(),0.747,0.739,-0.006,0.703,0.005,0.739,0.698,0.01,817,0.709,0:00:00.109834,0:01:16.224242
25,10,1,0.95,LinearSVC(max_iter=10000),0.84,0.822,-0.002,0.797,-0.002,0.822,0.788,-0.002,817,0.709,0:03:25.761422,0:01:16.224242
25,10,1,0.95,LogisticRegression(max_iter=10000),0.842,0.824,-0.004,0.8,-0.004,0.824,0.791,-0.004,817,0.709,0:00:19.020434,0:01:16.224242
25,10,1,0.925,MultinomialNB(),0.743,0.729,-0.016,0.702,0.004,0.729,0.702,0.014,692,0.601,0:00:00.094414,0:00:57.033625
25,10,1,0.925,LinearSVC(max_iter=10000),0.838,0.823,-0.001,0.798,-0.001,0.823,0.789,-0.001,692,0.601,0:02:50.284071,0:00:57.033625
25,10,1,0.925,LogisticRegression(max_iter=10000),0.84,0.826,-0.002,0.802,-0.002,0.826,0.793,-0.002,692,0.601,0:00:13.025667,0:00:57.033625
25,10,1,0.9,MultinomialNB(),0.743,0.728,-0.017,0.707,0.009,0.728,0.712,0.024,602,0.523,0:00:00.095479,0:00:45.397924
25,10,1,0.9,LinearSVC(max_iter=10000),0.836,0.824,0,0.8,0.001,0.824,0.792,0.002,602,0.523,0:02:39.119756,0:00:45.397924
25,10,1,0.9,LogisticRegression(max_iter=10000),0.839,0.823,-0.005,0.799,-0.005,0.823,0.79,-0.005,602,0.523,0:00:10.228515,0:00:45.397924
25,10,1,0.85,MultinomialNB(),0.744,0.739,-0.006,0.721,0.023,0.739,0.73,0.042,477,0.414,0:00:00.069456,0:00:31.633379
25,10,1,0.85,LinearSVC(max_iter=10000),0.832,0.821,-0.003,0.796,-0.003,0.821,0.787,-0.003,477,0.414,0:02:08.452876,0:00:31.633379
25,10,1,0.85,LogisticRegression(max_iter=10000),0.833,0.822,-0.006,0.798,-0.006,0.822,0.789,-0.006,477,0.414,0:00:07.567760,0:00:31.633379
25,10,1,0.8,MultinomialNB(),0.745,0.747,0.002,0.732,0.034,0.747,0.742,0.054,380,0.33,0:00:00.057734,0:00:23.114265
25,10,1,0.8,LinearSVC(max_iter=10000),0.827,0.82,-0.004,0.794,-0.005,0.82,0.785,-0.005,380,0.33,0:01:32.885467,0:00:23.114265
25,10,1,0.8,LogisticRegression(max_iter=10000),0.829,0.822,-0.006,0.797,-0.007,0.822,0.788,-0.007,380,0.33,0:00:06.399517,0:00:23.114265
25,10,1,0.7,MultinomialNB(),0.757,0.756,0.011,0.742,0.044,0.756,0.754,0.066,239,0.207,0:00:00.046385,0:00:14.170515
25,10,1,0.7,LinearSVC(max_iter=10000),0.81,0.81,-0.014,0.783,-0.016,0.81,0.774,-0.016,239,0.207,0:01:06.243116,0:00:14.170515
25,10,1,0.7,LogisticRegression(max_iter=10000),0.811,0.81,-0.018,0.783,-0.021,0.81,0.775,-0.02,239,0.207,0:00:03.400104,0:00:14.170515
25,10,1,0.6,MultinomialNB(),0.738,0.73,-0.015,0.717,0.019,0.73,0.734,0.046,108,0.094,0:00:00.023096,0:00:09.409364
25,10,1,0.6,LinearSVC(max_iter=10000),0.797,0.792,-0.032,0.762,-0.037,0.792,0.753,-0.037,108,0.094,0:00:10.800417,0:00:09.409364
25,10,1,0.6,LogisticRegression(max_iter=10000),0.798,0.793,-0.035,0.762,-0.042,0.793,0.753,-0.042,108,0.094,0:00:01.349240,0:00:09.409364
25,10,2,1,MultinomialNB(),0.76,0.752,0,0.715,0,0.752,0.708,0,809,1,0:00:00.110603,0:01:11.319913
25,10,2,1,LinearSVC(max_iter=10000),0.847,0.83,0,0.805,0,0.83,0.795,0,809,1,0:03:19.568763,0:01:11.319913
25,10,2,1,LogisticRegression(max_iter=10000),0.848,0.829,0,0.805,0,0.829,0.796,0,809,1,0:00:19.912362,0:01:11.319913
25,10,2,0.975,MultinomialNB(),0.76,0.75,-0.002,0.714,-0.001,0.75,0.707,-0.001,749,0.926,0:00:00.101388,0:01:02.502534
25,10,2,0.975,LinearSVC(max_iter=10000),0.842,0.827,-0.003,0.803,-0.002,0.827,0.794,-0.001,749,0.926,0:03:03.056852,0:01:02.502534
25,10,2,0.975,LogisticRegression(max_iter=10000),0.845,0.827,-0.002,0.803,-0.002,0.827,0.794,-0.002,749,0.926,0:00:16.552691,0:01:02.502534
25,10,2,0.95,MultinomialNB(),0.76,0.75,-0.002,0.719,0.004,0.75,0.714,0.006,669,0.827,0:00:00.092435,0:00:50.604921
25,10,2,0.95,LinearSVC(max_iter=10000),0.839,0.824,-0.006,0.799,-0.006,0.824,0.79,-0.005,669,0.827,0:02:48.609652,0:00:50.604921
25,10,2,0.95,LogisticRegression(max_iter=10000),0.842,0.823,-0.006,0.799,-0.006,0.823,0.79,-0.006,669,0.827,0:00:14.350956,0:00:50.604921
25,10,2,0.925,MultinomialNB(),0.758,0.744,-0.008,0.718,0.003,0.744,0.718,0.01,588,0.727,0:00:00.082567,0:00:40.437045
25,10,2,0.925,LinearSVC(max_iter=10000),0.837,0.823,-0.007,0.798,-0.007,0.823,0.788,-0.007,588,0.727,0:02:35.197125,0:00:40.437045
25,10,2,0.925,LogisticRegression(max_iter=10000),0.839,0.823,-0.006,0.799,-0.006,0.823,0.79,-0.006,588,0.727,0:00:08.716748,0:00:40.437045
25,10,2,0.9,MultinomialNB(),0.753,0.742,-0.01,0.722,0.007,0.742,0.727,0.019,521,0.644,0:00:00.073812,0:00:33.750508
25,10,2,0.9,LinearSVC(max_iter=10000),0.835,0.824,-0.006,0.799,-0.006,0.824,0.79,-0.005,521,0.644,0:02:19.904120,0:00:33.750508
25,10,2,0.9,LogisticRegression(max_iter=10000),0.836,0.823,-0.006,0.799,-0.006,0.823,0.791,-0.005,521,0.644,0:00:07.926096,0:00:33.750508
25,10,2,0.85,MultinomialNB(),0.749,0.747,-0.005,0.73,0.015,0.747,0.739,0.031,428,0.529,0:00:00.062517,0:00:23.957374
25,10,2,0.85,LinearSVC(max_iter=10000),0.831,0.818,-0.012,0.793,-0.012,0.818,0.784,-0.011,428,0.529,0:01:59.931915,0:00:23.957374
25,10,2,0.85,LogisticRegression(max_iter=10000),0.833,0.819,-0.01,0.794,-0.011,0.819,0.785,-0.011,428,0.529,0:00:06.006221,0:00:23.957374
25,10,2,0.8,MultinomialNB(),0.756,0.759,0.007,0.742,0.027,0.759,0.751,0.043,350,0.433,0:00:00.053037,0:00:17.647825
25,10,2,0.8,LinearSVC(max_iter=10000),0.827,0.819,-0.011,0.793,-0.012,0.819,0.783,-0.012,350,0.433,0:01:20.567237,0:00:17.647825
25,10,2,0.8,LogisticRegression(max_iter=10000),0.828,0.822,-0.007,0.797,-0.008,0.822,0.787,-0.009,350,0.433,0:00:05.378294,0:00:17.647825
25,10,2,0.7,MultinomialNB(),0.76,0.756,0.004,0.742,0.027,0.756,0.754,0.046,222,0.274,0:00:00.037821,0:00:10.242090
25,10,2,0.7,LinearSVC(max_iter=10000),0.81,0.81,-0.02,0.784,-0.021,0.81,0.775,-0.02,222,0.274,0:01:12.633965,0:00:10.242090
25,10,2,0.7,LogisticRegression(max_iter=10000),0.811,0.811,-0.018,0.785,-0.02,0.811,0.776,-0.02,222,0.274,0:00:03.106951,0:00:10.242090
25,10,2,0.6,MultinomialNB(),0.734,0.723,-0.029,0.712,-0.003,0.723,0.731,0.023,104,0.129,0:00:00.022877,0:00:06.092150
25,10,2,0.6,LinearSVC(max_iter=10000),0.796,0.793,-0.037,0.762,-0.043,0.793,0.754,-0.041,104,0.129,0:00:16.240680,0:00:06.092150
25,10,2,0.6,LogisticRegression(max_iter=10000),0.801,0.795,-0.034,0.763,-0.042,0.795,0.752,-0.044,104,0.129,0:00:01.278818,0:00:06.092150
25,15,1,1,MultinomialNB(),0.746,0.744,0,0.693,0,0.744,0.684,0,1314,1,0:00:00.166338,0:03:02.329087
25,15,1,1,LinearSVC(max_iter=10000),0.856,0.818,0,0.793,0,0.818,0.784,0,1314,1,0:05:42.594211,0:03:02.329087
25,15,1,1,LogisticRegression(max_iter=10000),0.854,0.829,0,0.804,0,0.829,0.794,0,1314,1,0:00:38.123096,0:03:02.329087
25,15,1,0.975,MultinomialNB(),0.745,0.742,-0.002,0.695,0.002,0.742,0.686,0.002,1081,0.823,0:00:00.144347,0:02:06.157168
25,15,1,0.975,LinearSVC(max_iter=10000),0.847,0.819,0.001,0.795,0.002,0.819,0.786,0.002,1081,0.823,0:04:53.995676,0:02:06.157168
25,15,1,0.975,LogisticRegression(max_iter=10000),0.849,0.823,-0.006,0.799,-0.005,0.823,0.79,-0.004,1081,0.823,0:00:25.980462,0:02:06.157168
25,15,1,0.95,MultinomialNB(),0.742,0.735,-0.009,0.697,0.004,0.735,0.691,0.007,885,0.674,0:00:00.119810,0:01:27.494197
25,15,1,0.95,LinearSVC(max_iter=10000),0.842,0.819,0.001,0.795,0.002,0.819,0.786,0.002,885,0.674,0:03:52.512636,0:01:27.494197
25,15,1,0.95,LogisticRegression(max_iter=10000),0.842,0.825,-0.004,0.801,-0.003,0.825,0.793,-0.001,885,0.674,0:00:20.720191,0:01:27.494197
25,15,1,0.925,MultinomialNB(),0.74,0.728,-0.016,0.7,0.007,0.728,0.699,0.015,736,0.56,0:00:00.101797,0:01:03.463703
25,15,1,0.925,LinearSVC(max_iter=10000),0.838,0.823,0.005,0.798,0.005,0.823,0.789,0.005,736,0.56,0:03:01.757643,0:01:03.463703
25,15,1,0.925,LogisticRegression(max_iter=10000),0.84,0.825,-0.004,0.8,-0.004,0.825,0.792,-0.002,736,0.56,0:00:14.089297,0:01:03.463703
25,15,1,0.9,MultinomialNB(),0.74,0.726,-0.018,0.704,0.011,0.726,0.709,0.025,634,0.482,0:00:00.088633,0:00:49.777124
25,15,1,0.9,LinearSVC(max_iter=10000),0.837,0.821,0.003,0.796,0.003,0.821,0.788,0.004,634,0.482,0:02:46.847512,0:00:49.777124
25,15,1,0.9,LogisticRegression(max_iter=10000),0.839,0.822,-0.007,0.798,-0.006,0.822,0.79,-0.004,634,0.482,0:00:11.090589,0:00:49.777124
25,15,1,0.85,MultinomialNB(),0.744,0.738,-0.006,0.72,0.027,0.738,0.728,0.044,495,0.377,0:00:00.070154,0:00:33.339706
25,15,1,0.85,LinearSVC(max_iter=10000),0.831,0.821,0.003,0.796,0.003,0.821,0.787,0.003,495,0.377,0:02:13.307711,0:00:33.339706
25,15,1,0.85,LogisticRegression(max_iter=10000),0.833,0.822,-0.007,0.798,-0.006,0.822,0.79,-0.004,495,0.377,0:00:08.067709,0:00:33.339706
25,15,1,0.8,MultinomialNB(),0.744,0.745,0.001,0.729,0.036,0.745,0.74,0.056,392,0.298,0:00:00.057486,0:00:24.101367
25,15,1,0.8,LinearSVC(max_iter=10000),0.827,0.82,0.002,0.794,0.001,0.82,0.785,0.001,392,0.298,0:01:38.063319,0:00:24.101367
25,15,1,0.8,LogisticRegression(max_iter=10000),0.829,0.822,-0.007,0.797,-0.007,0.822,0.789,-0.005,392,0.298,0:00:06.132790,0:00:24.101367
25,15,1,0.7,MultinomialNB(),0.756,0.756,0.012,0.742,0.049,0.756,0.754,0.07,244,0.186,0:00:00.040509,0:00:14.856256
25,15,1,0.7,LinearSVC(max_iter=10000),0.81,0.808,-0.01,0.781,-0.012,0.808,0.773,-0.011,244,0.186,0:00:59.027739,0:00:14.856256
25,15,1,0.7,LogisticRegression(max_iter=10000),0.811,0.809,-0.02,0.782,-0.022,0.809,0.774,-0.02,244,0.186,0:00:03.664853,0:00:14.856256
25,15,1,0.6,MultinomialNB(),0.739,0.73,-0.014,0.718,0.025,0.73,0.734,0.05,109,0.083,0:00:00.023366,0:00:09.840998
25,15,1,0.6,LinearSVC(max_iter=10000),0.797,0.792,-0.026,0.762,-0.031,0.792,0.753,-0.031,109,0.083,0:00:18.130758,0:00:09.840998
25,15,1,0.6,LogisticRegression(max_iter=10000),0.798,0.793,-0.036,0.762,-0.042,0.793,0.753,-0.041,109,0.083,0:00:01.365695,0:00:09.840998
25,15,2,1,MultinomialNB(),0.749,0.745,0,0.704,0,0.745,0.696,0,1056,1,0:00:00.141293,0:01:59.620004
25,15,2,1,LinearSVC(max_iter=10000),0.851,0.825,0,0.801,0,0.825,0.792,0,1056,1,0:04:42.051906,0:01:59.620004
25,15,2,1,LogisticRegression(max_iter=10000),0.852,0.832,0,0.808,0,0.832,0.798,0,1056,1,0:00:28.267148,0:01:59.620004
25,15,2,0.975,MultinomialNB(),0.748,0.743,-0.002,0.703,-0.001,0.743,0.695,-0.001,957,0.906,0:00:00.125940,0:01:39.855307
25,15,2,0.975,LinearSVC(max_iter=10000),0.846,0.822,-0.003,0.798,-0.003,0.822,0.79,-0.002,957,0.906,0:04:19.632043,0:01:39.855307
25,15,2,0.975,LogisticRegression(max_iter=10000),0.847,0.827,-0.005,0.803,-0.005,0.827,0.794,-0.004,957,0.906,0:00:21.616858,0:01:39.855307
25,15,2,0.95,MultinomialNB(),0.748,0.738,-0.007,0.703,-0.001,0.738,0.699,0.003,837,0.793,0:00:00.111994,0:01:17.373488
25,15,2,0.95,LinearSVC(max_iter=10000),0.84,0.822,-0.003,0.798,-0.003,0.822,0.79,-0.002,837,0.793,0:03:33.068046,0:01:17.373488
25,15,2,0.95,LogisticRegression(max_iter=10000),0.842,0.825,-0.007,0.801,-0.007,0.825,0.792,-0.006,837,0.793,0:00:19.350250,0:01:17.373488
25,15,2,0.925,MultinomialNB(),0.745,0.732,-0.013,0.705,0.001,0.732,0.704,0.008,715,0.677,0:00:00.098061,0:00:58.840824
25,15,2,0.925,LinearSVC(max_iter=10000),0.838,0.823,-0.002,0.798,-0.003,0.823,0.789,-0.003,715,0.677,0:02:56.428811,0:00:58.840824
25,15,2,0.925,LogisticRegression(max_iter=10000),0.84,0.826,-0.006,0.802,-0.006,0.826,0.793,-0.005,715,0.677,0:00:14.286132,0:00:58.840824
25,15,2,0.9,MultinomialNB(),0.742,0.728,-0.017,0.707,0.003,0.728,0.711,0.015,625,0.592,0:00:00.088440,0:00:46.601588
25,15,2,0.9,LinearSVC(max_iter=10000),0.837,0.821,-0.004,0.796,-0.005,0.821,0.788,-0.004,625,0.592,0:02:44.431345,0:00:46.601588
25,15,2,0.9,LogisticRegression(max_iter=10000),0.839,0.823,-0.009,0.799,-0.009,0.823,0.79,-0.008,625,0.592,0:00:10.314100,0:00:46.601588
25,15,2,0.85,MultinomialNB(),0.745,0.738,-0.007,0.72,0.016,0.738,0.728,0.032,493,0.467,0:00:00.071399,0:00:32.109271
25,15,2,0.85,LinearSVC(max_iter=10000),0.831,0.821,-0.004,0.796,-0.005,0.821,0.787,-0.005,493,0.467,0:02:12.520612,0:00:32.109271
25,15,2,0.85,LogisticRegression(max_iter=10000),0.833,0.822,-0.01,0.798,-0.01,0.822,0.79,-0.008,493,0.467,0:00:07.606892,0:00:32.109271
25,15,2,0.8,MultinomialNB(),0.746,0.746,0.001,0.731,0.027,0.746,0.742,0.046,391,0.37,0:00:00.057762,0:00:23.079701
25,15,2,0.8,LinearSVC(max_iter=10000),0.827,0.82,-0.005,0.794,-0.007,0.82,0.785,-0.007,391,0.37,0:01:53.195865,0:00:23.079701
25,15,2,0.8,LogisticRegression(max_iter=10000),0.829,0.822,-0.01,0.798,-0.01,0.822,0.789,-0.009,391,0.37,0:00:05.634098,0:00:23.079701
25,15,2,0.7,MultinomialNB(),0.756,0.756,0.011,0.742,0.038,0.756,0.754,0.058,244,0.231,0:00:00.039644,0:00:12.859904
25,15,2,0.7,LinearSVC(max_iter=10000),0.81,0.808,-0.017,0.781,-0.02,0.808,0.773,-0.019,244,0.231,0:00:50.609302,0:00:12.859904
25,15,2,0.7,LogisticRegression(max_iter=10000),0.811,0.809,-0.023,0.782,-0.026,0.809,0.774,-0.024,244,0.231,0:00:03.685224,0:00:12.859904
25,15,2,0.6,MultinomialNB(),0.739,0.73,-0.015,0.718,0.014,0.73,0.734,0.038,109,0.103,0:00:00.022992,0:00:08.157951
25,15,2,0.6,LinearSVC(max_iter=10000),0.797,0.792,-0.033,0.762,-0.039,0.792,0.753,-0.039,109,0.103,0:00:10.881997,0:00:08.157951
25,15,2,0.6,LogisticRegression(max_iter=10000),0.798,0.793,-0.039,0.762,-0.046,0.793,0.753,-0.045,109,0.103,0:00:01.367560,0:00:08.157951
50,5,1,1,MultinomialNB(),0.783,0.779,0,0.734,0,0.779,0.72,0,491,1,0:00:00.072319,0:00:27.790903
50,5,1,1,LinearSVC(max_iter=10000),0.842,0.837,0,0.812,0,0.837,0.801,0,491,1,0:02:07.646307,0:00:27.790903
50,5,1,1,LogisticRegression(max_iter=10000),0.844,0.838,0,0.815,0,0.838,0.803,0,491,1,0:00:10.436313,0:00:27.790903
50,5,1,0.975,MultinomialNB(),0.784,0.779,0,0.735,0.001,0.779,0.722,0.002,433,0.882,0:00:00.062165,0:00:22.248493
50,5,1,0.975,LinearSVC(max_iter=10000),0.836,0.829,-0.008,0.804,-0.008,0.829,0.793,-0.008,433,0.882,0:01:57.545984,0:00:22.248493
50,5,1,0.975,LogisticRegression(max_iter=10000),0.837,0.832,-0.006,0.807,-0.008,0.832,0.796,-0.007,433,0.882,0:00:09.019326,0:00:22.248493
50,5,1,0.95,MultinomialNB(),0.787,0.775,-0.004,0.746,0.012,0.775,0.74,0.02,375,0.764,0:00:00.056523,0:00:17.275701
50,5,1,0.95,LinearSVC(max_iter=10000),0.834,0.831,-0.006,0.806,-0.006,0.831,0.795,-0.006,375,0.764,0:01:45.836743,0:00:17.275701
50,5,1,0.95,LogisticRegression(max_iter=10000),0.835,0.83,-0.008,0.805,-0.01,0.83,0.795,-0.008,375,0.764,0:00:07.697064,0:00:17.275701
