Forest Size, Forest Depth, Edges Threshold, Similarity,
128,5,1.0,0.0,
128,5,0.975,0.0,
128,5,0.95,0.0,
128,5,0.925,0.0,
128,5,0.9,0.0,
128,5,0.85,0.0,
128,5,0.8,0.0,
128,5,0.7,0.0,
128,5,0.6,0.5,
128,10,1.0,0.0,
128,10,0.975,0.0,
128,10,0.95,0.0,
128,10,0.925,0.0,
128,10,0.9,0.0,
128,10,0.85,0.0,
128,10,0.8,0.0,
128,10,0.7,0.0,
128,10,0.6,0.375,
128,15,1.0,0.0,
128,15,0.975,0.0,
128,15,0.95,0.0,
128,15,0.925,0.0,
128,15,0.9,0.0,
128,15,0.85,0.0,
128,15,0.8,0.0,
128,15,0.7,0.0,
128,15,0.6,0.5,
