Forest Size, Forest depth, R2, MAE, MSE, 
25, 5, 0.19406624242647186,0.5040816326530613,0.6387755102040816, 
25, 10, 0.3614326777053195,0.3979591836734694,0.5061224489795918, 
25, 15, 0.43867872475709535,0.3551020408163265,0.4448979591836735, 
50, 5, 0.21466518830694536,0.49183673469387756,0.6224489795918368, 
50, 10, 0.37301958476308594,0.3948979591836735,0.4969387755102041, 
50, 15, 0.4502656318148618,0.34591836734693876,0.4357142857142857, 
100, 5, 0.215952622424475,0.4887755102040816,0.6214285714285714, 
100, 10, 0.3897562282909707,0.37755102040816324,0.48367346938775513, 
100, 15, 0.4361038565220362,0.3551020408163265,0.44693877551020406, 
