Forest Size, Forest Depth, Patterns threshold, Edges Threshold, Learner, Train R2, Test R2, Test R2 (gain), MAE, MAE (gain), MSE, MSE (gain), Patterns Count, Patterns Ratio, Training Time, Pruning Time
25,5,2,0.95,LogisticRegression(max_iter=10000),0.101,0.02,-0.009000000000000001,0.593,0.0010000000000000009,0.777,0.008000000000000007,39,0.696,0:00:01.169511,0:00:00.068909
25,5,2,0.925,MultinomialNB(),-0.673,-0.433,-0.034999999999999976,0.762,0.015000000000000013,1.136,0.027999999999999803,37,0.661,0:00:00.004022,0:00:00.064985
25,5,2,0.925,LinearSVC(max_iter=10000),0.077,-0.022,0.012000000000000004,0.604,-0.009000000000000008,0.81,-0.008999999999999897,37,0.661,0:00:02.335890,0:00:00.064985
25,5,2,0.925,LogisticRegression(max_iter=10000),0.097,0.016,-0.013000000000000001,0.594,0.0020000000000000018,0.78,0.01100000000000001,37,0.661,0:00:01.127887,0:00:00.064985
25,5,2,0.9,MultinomialNB(),-0.721,-0.56,-0.16200000000000003,0.79,0.04300000000000004,1.237,0.129,31,0.554,0:00:00.003464,0:00:00.059154
25,5,2,0.9,LinearSVC(max_iter=10000),0.078,0,0.034,0.603,-0.010000000000000009,0.793,-0.025999999999999912,31,0.554,0:00:01.824710,0:00:00.059154
25,5,2,0.9,LogisticRegression(max_iter=10000),0.101,0.013,-0.016,0.603,0.01100000000000001,0.783,0.014000000000000012,31,0.554,0:00:00.906348,0:00:00.059154
25,5,2,0.85,MultinomialNB(),-0.765,-0.598,-0.19999999999999996,0.793,0.04600000000000004,1.266,0.15799999999999992,27,0.482,0:00:00.005713,0:00:00.056770
25,5,2,0.85,LinearSVC(max_iter=10000),0.02,-0.049,-0.015,0.613,0.0,0.832,0.013000000000000012,27,0.482,0:00:01.433640,0:00:00.056770
25,5,2,0.85,LogisticRegression(max_iter=10000),0.058,-0.045,-0.074,0.614,0.02200000000000002,0.829,0.05999999999999994,27,0.482,0:00:00.765945,0:00:00.056770
25,5,2,0.8,MultinomialNB(),-0.771,-0.732,-0.33399999999999996,0.828,0.08099999999999996,1.372,0.264,23,0.411,0:00:00.003129,0:00:00.050486
