16,5,936,23
16,10,11728,293
16,15,49892,1247
32,5,1908,47
32,10,22544,563
32,15,97552,2438
64,5,3820,95
64,10,46006,1150
64,15,181172,4529
64,5,118,2
64,10,108,2
64,15,108,2
64,5,132,3
64,10,128,3
64,15,130,3
