Forest Size, Forest Depth, Patterns threshold, Edges Threshold, Learner, Train R2, Test R2, Test R2 (gain), MAE, MAE (gain), MSE, MSE (gain), Patterns Count, Patterns Ratio, Training Time, Pruning Time

Forest Size, Forest Depth, Patterns threshold, Edges Threshold, Learner, Train R2, Test R2, Test R2 (gain), MAE, MAE (gain), MSE, MSE (gain), Patterns Count, Patterns Ratio, Training Time, Pruning Time

25,5,2,0.975,LogisticRegression(max_iter=10000),0.11,0.013,-0.017,0.597,0.005,0.783,0.013,45,0.804,0:00:01.400085,0:00:00.072137,

25,5,2,0.95,MultinomialNB(),-0.658,-0.437,-0.466,0.763,0.171,1.139,0.369,39,0.696,0:00:00.003728,0:00:00.068909,

25,5,2,0.95,LinearSVC(max_iter=10000),0.076,-0.013,-0.042,0.605,0.013,0.803,0.034,39,0.696,0:00:02.967724,0:00:00.068909,

25,5,2,0.95,LogisticRegression(max_iter=10000),0.101,0.02,-0.009,0.593,0.001,0.777,0.007,39,0.696,0:00:01.169511,0:00:00.068909,

25,5,2,0.925,MultinomialNB(),-0.673,-0.433,-0.462,0.762,0.17,1.136,0.366,37,0.661,0:00:00.004022,0:00:00.064985,

25,5,2,0.925,LinearSVC(max_iter=10000),0.077,-0.022,-0.051,0.604,0.012,0.81,0.041,37,0.661,0:00:02.335890,0:00:00.064985,

25,5,2,0.925,LogisticRegression(max_iter=10000),0.097,0.016,-0.013,0.594,0.002,0.78,0.01,37,0.661,0:00:01.127887,0:00:00.064985,

25,5,2,0.9,MultinomialNB(),-0.721,-0.56,-0.59,0.79,0.198,1.237,0.467,31,0.554,0:00:00.003464,0:00:00.059154,

25,5,2,0.9,LinearSVC(max_iter=10000),0.078,-0.0,-0.03,0.603,0.011,0.793,0.023,31,0.554,0:00:01.824710,0:00:00.059154,

25,5,2,0.9,LogisticRegression(max_iter=10000),0.101,0.013,-0.017,0.603,0.011,0.783,0.013,31,0.554,0:00:00.906348,0:00:00.059154,

25,5,2,0.85,MultinomialNB(),-0.765,-0.598,-0.627,0.793,0.201,1.266,0.497,27,0.482,0:00:00.005713,0:00:00.056770,

25,5,2,0.85,LinearSVC(max_iter=10000),0.02,-0.049,-0.079,0.613,0.021,0.832,0.062,27,0.482,0:00:01.433640,0:00:00.056770,

25,5,2,0.85,LogisticRegression(max_iter=10000),0.058,-0.045,-0.075,0.614,0.022,0.829,0.059,27,0.482,0:00:00.765945,0:00:00.056770,

25,5,2,0.8,MultinomialNB(),-0.771,-0.732,-0.761,0.828,0.236,1.372,0.603,23,0.411,0:00:00.003129,0:00:00.050486,

25,5,2,0.8,LinearSVC(max_iter=10000),0.021,-0.039,-0.068,0.599,0.007,0.823,0.054,23,0.411,0:00:01.099019,0:00:00.050486,

25,5,2,0.8,LogisticRegression(max_iter=10000),0.043,-0.058,-0.088,0.62,0.029,0.839,0.069,23,0.411,0:00:00.733615,0:00:00.050486,

25,5,2,0.7,MultinomialNB(),-0.721,-0.653,-0.682,0.806,0.214,1.31,0.541,20,0.357,0:00:00.003012,0:00:00.055270,

25,5,2,0.7,LinearSVC(max_iter=10000),0.022,-0.035,-0.064,0.598,0.006,0.82,0.051,20,0.357,0:00:00.818908,0:00:00.055270,

25,5,2,0.7,LogisticRegression(max_iter=10000),0.039,-0.052,-0.081,0.611,0.019,0.834,0.064,20,0.357,0:00:00.654750,0:00:00.055270,

25,5,2,0.6,MultinomialNB(),-0.288,-0.235,-0.264,0.695,0.103,0.979,0.209,7,0.125,0:00:00.002587,0:00:00.044859,

25,5,2,0.6,LinearSVC(max_iter=10000),0.014,-0.048,-0.077,0.608,0.016,0.831,0.061,7,0.125,0:00:00.226902,0:00:00.044859,

25,5,2,0.6,LogisticRegression(max_iter=10000),0.021,-0.039,-0.068,0.603,0.011,0.823,0.054,7,0.125,0:00:00.321392,0:00:00.044859,

25,10,1,1.0,MultinomialNB(),-1.229,-1.075,0.0,0.976,0.0,1.645,0.0,307,1.0,0:00:00.014556,0:00:02.811370,

25,10,1,1.0,LinearSVC(max_iter=10000),0.239,0.056,0.0,0.587,0.0,0.748,0.0,307,1.0,0:01:22.783236,0:00:02.811370,

25,10,1,1.0,LogisticRegression(max_iter=10000),0.241,0.087,0.0,0.581,0.0,0.723,0.0,307,1.0,0:00:08.234415,0:00:02.811370,

25,10,1,0.975,MultinomialNB(),-1.431,-1.235,-1.322,1.022,0.442,1.771,1.048,240,0.782,0:00:00.011708,0:00:01.242457,

25,10,1,0.975,LinearSVC(max_iter=10000),0.183,0.036,-0.051,0.591,0.01,0.764,0.041,240,0.782,0:00:46.044612,0:00:01.242457,

25,10,1,0.975,LogisticRegression(max_iter=10000),0.188,0.065,-0.022,0.584,0.003,0.741,0.017,240,0.782,0:00:06.333763,0:00:01.242457,

25,10,1,0.95,MultinomialNB(),-1.589,-1.397,-1.484,1.055,0.474,1.9,1.177,207,0.674,0:00:00.009134,0:00:01.000597,

25,10,1,0.95,LinearSVC(max_iter=10000),0.177,0.061,-0.026,0.574,-0.006,0.744,0.02,207,0.674,0:00:40.624943,0:00:01.000597,

25,10,1,0.95,LogisticRegression(max_iter=10000),0.172,0.063,-0.024,0.582,0.001,0.743,0.019,207,0.674,0:00:05.904498,0:00:01.000597,

25,10,1,0.925,MultinomialNB(),-1.616,-1.401,-1.488,1.058,0.478,1.903,1.18,187,0.609,0:00:00.009835,0:00:00.935611,

25,10,1,0.925,LinearSVC(max_iter=10000),0.145,0.01,-0.077,0.587,0.006,0.785,0.061,187,0.609,0:00:33.157693,0:00:00.935611,

25,10,1,0.925,LogisticRegression(max_iter=10000),0.15,0.051,-0.036,0.585,0.004,0.752,0.029,187,0.609,0:00:04.225085,0:00:00.935611,

25,10,1,0.9,MultinomialNB(),-1.216,-1.041,-1.128,0.966,0.386,1.617,0.894,166,0.541,0:00:00.008235,0:00:00.743307,

25,10,1,0.9,LinearSVC(max_iter=10000),0.116,0.014,-0.073,0.588,0.007,0.782,0.058,166,0.541,0:00:28.206030,0:00:00.743307,

25,10,1,0.9,LogisticRegression(max_iter=10000),0.135,0.052,-0.035,0.58,-0.001,0.751,0.028,166,0.541,0:00:09.793720,0:00:00.743307,

25,10,1,0.85,MultinomialNB(),-1.201,-1.074,-1.161,0.979,0.398,1.644,0.92,137,0.446,0:00:00.006902,0:00:00.564670,

25,10,1,0.85,LinearSVC(max_iter=10000),0.075,-0.031,-0.118,0.611,0.031,0.817,0.094,137,0.446,0:00:20.885089,0:00:00.564670,

25,10,1,0.85,LogisticRegression(max_iter=10000),0.101,-0.007,-0.094,0.598,0.017,0.798,0.074,137,0.446,0:00:04.954771,0:00:00.564670,

25,10,1,0.8,MultinomialNB(),-1.181,-1.095,-1.182,0.981,0.4,1.66,0.937,114,0.371,0:00:00.006894,0:00:00.442025,

25,10,1,0.8,LinearSVC(max_iter=10000),0.054,-0.04,-0.127,0.61,0.03,0.824,0.101,114,0.371,0:00:15.404631,0:00:00.442025,

25,10,1,0.8,LogisticRegression(max_iter=10000),0.075,-0.011,-0.098,0.597,0.016,0.801,0.078,114,0.371,0:00:04.424195,0:00:00.442025,

25,10,1,0.7,MultinomialNB(),-1.301,-1.208,-1.295,1.009,0.429,1.75,1.027,74,0.241,0:00:00.004846,0:00:00.318793,

25,10,1,0.7,LinearSVC(max_iter=10000),0.055,-0.016,-0.103,0.603,0.022,0.805,0.082,74,0.241,0:00:09.086197,0:00:00.318793,

25,10,1,0.7,LogisticRegression(max_iter=10000),0.08,-0.003,-0.09,0.603,0.022,0.795,0.071,74,0.241,0:00:02.569911,0:00:00.318793,

25,10,1,0.6,MultinomialNB(),-1.385,-1.482,-1.569,1.073,0.493,1.967,1.244,36,0.117,0:00:00.003619,0:00:00.264149,

25,10,1,0.6,LinearSVC(max_iter=10000),0.013,-0.063,-0.151,0.61,0.03,0.843,0.119,36,0.117,0:00:03.492177,0:00:00.264149,

25,10,1,0.6,LogisticRegression(max_iter=10000),0.018,-0.013,-0.1,0.587,0.006,0.803,0.08,36,0.117,0:00:01.189424,0:00:00.264149,

25,10,2,1.0,MultinomialNB(),-1.181,-1.051,0.0,0.974,0.0,1.626,0.0,249,1.0,0:00:00.011851,0:00:01.294429,

25,10,2,1.0,LinearSVC(max_iter=10000),0.192,0.036,0.0,0.595,0.0,0.764,0.0,249,1.0,0:01:10.157719,0:00:01.294429,

25,10,2,1.0,LogisticRegression(max_iter=10000),0.219,0.069,0.0,0.581,0.0,0.738,0.0,249,1.0,0:00:05.992366,0:00:01.294429,

25,10,2,0.975,MultinomialNB(),-1.317,-1.19,-1.259,1.011,0.431,1.736,0.998,221,0.888,0:00:00.011026,0:00:01.086031,

25,10,2,0.975,LinearSVC(max_iter=10000),0.172,0.034,-0.035,0.594,0.013,0.765,0.028,221,0.888,0:00:55.373650,0:00:01.086031,

25,10,2,0.975,LogisticRegression(max_iter=10000),0.176,0.055,-0.014,0.59,0.009,0.749,0.011,221,0.888,0:00:05.086064,0:00:01.086031,

25,10,2,0.95,MultinomialNB(),-1.357,-1.214,-1.284,1.01,0.43,1.755,1.017,195,0.783,0:00:00.008945,0:00:00.885959,

25,10,2,0.95,LinearSVC(max_iter=10000),0.161,0.037,-0.032,0.586,0.005,0.763,0.026,195,0.783,0:00:45.277607,0:00:00.885959,

25,10,2,0.95,LogisticRegression(max_iter=10000),0.161,0.067,-0.003,0.581,0.0,0.74,0.002,195,0.783,0:00:04.569870,0:00:00.885959,

25,10,2,0.925,MultinomialNB(),-1.309,-1.147,-1.217,0.994,0.413,1.702,0.964,180,0.723,0:00:00.008797,0:00:00.789172,

25,10,2,0.925,LinearSVC(max_iter=10000),0.143,0.013,-0.057,0.589,0.008,0.783,0.045,180,0.723,0:00:37.638917,0:00:00.789172,

25,10,2,0.925,LogisticRegression(max_iter=10000),0.142,0.051,-0.018,0.585,0.004,0.752,0.014,180,0.723,0:00:04.227537,0:00:00.789172,

25,10,2,0.9,MultinomialNB(),-1.169,-1.026,-1.096,0.963,0.383,1.606,0.868,161,0.647,0:00:00.008682,0:00:00.680553,

25,10,2,0.9,LinearSVC(max_iter=10000),0.117,0.019,-0.05,0.588,0.007,0.778,0.04,161,0.647,0:00:28.558695,0:00:00.680553,

25,10,2,0.9,LogisticRegression(max_iter=10000),0.137,0.049,-0.021,0.583,0.002,0.754,0.016,161,0.647,0:00:06.635609,0:00:00.680553,

25,10,2,0.85,MultinomialNB(),-1.198,-1.083,-1.152,0.978,0.397,1.651,0.913,135,0.542,0:00:00.007049,0:00:00.524799,

25,10,2,0.85,LinearSVC(max_iter=10000),0.071,-0.029,-0.098,0.609,0.029,0.815,0.078,135,0.542,0:00:25.598127,0:00:00.524799,

25,10,2,0.85,LogisticRegression(max_iter=10000),0.104,-0.009,-0.079,0.6,0.019,0.8,0.062,135,0.542,0:00:05.583253,0:00:00.524799,

25,10,2,0.8,MultinomialNB(),-1.194,-1.106,-1.175,0.984,0.403,1.669,0.932,113,0.454,0:00:00.006798,0:00:00.423169,

25,10,2,0.8,LinearSVC(max_iter=10000),0.054,-0.04,-0.109,0.61,0.03,0.824,0.087,113,0.454,0:00:17.315145,0:00:00.423169,

25,10,2,0.8,LogisticRegression(max_iter=10000),0.075,-0.014,-0.084,0.6,0.019,0.804,0.066,113,0.454,0:00:04.408962,0:00:00.423169,

